0.45203,0.72886,0.18716,0.44644,0.47106,0.73909,0.50289,0.14623,0.17166,0.6969,0.50138,0.47816,0.17717,0.57117,0.5134,0.67667,0.18253,0.49634,0.70442,0.50818
0.01578,0.73314,0.01592,0.014569,0.015676,0.74144,0.020474,0.014544,0.015228,0.70202,0.0208,0.017354,0.015814,0.012982,0.021233,0.67877,0.016197,0.019132,0.70464,0.019554
0.015054,0.026211,0.014197,0.014135,0.015262,0.026263,0.017154,0.01394,0.013271,0.017052,0.017627,0.015091,0.013304,0.012982,0.019204,0.017948,0.014278,0.016394,0.018556,0.016194
0.016396,0.021094,0.019395,0.019341,0.023299,0.019164,0.016559,0.019289,0.020003,0.017019,0.016574,0.018549,0.019723,0.018406,0.017474,0.017948,0.019141,0.019848,0.018303,0.019078
0.024594,0.018934,0.020749,0.024254,0.011743,0.02308,0.024686,0.019451,0.018489,0.022681,0.025051,0.024201,0.019838,0.017905,0.051235,0.017268,0.017537,0.02368,0.019818,0.024785
0.059936,0.019341,0.029867,0.049747,0.011743,0.017946,0.020869,0.027736,0.02074,0.023446,0.069295,0.020701,0.02927,0.024471,0.020876,0.022601,0.024864,0.051942,0.021494,0.019819
0.060281,0.011184,0.65745,0.049799,0.053912,0.022903,0.022125,0.63136,0.52738,0.011161,0.069682,0.021155,0.63896,0.020788,0.020046,0.068184,0.55675,0.052531,0.012573,0.021717
0.025725,0.011184,0.66194,0.013647,0.053227,0.018554,0.059828,0.62564,0.020976,0.011323,0.012859,0.051796,0.63384,0.01203,0.024974,0.020814,0.013839,0.013874,0.014984,0.086451
0.019865,0.020116,0.014551,0.013647,0.025348,0.012363,0.019576,0.013916,0.01807,0.018932,0.012859,0.021956,0.013917,0.012619,0.021749,0.019789,0.013839,0.013874,0.13073,0.012484
0.018009,0.026516,0.014551,0.023087,0.019713,0.012363,0.01895,0.013916,0.018553,0.012371,0.019329,0.018667,0.013917,0.18915,0.019059,0.024374,0.015195,0.021163,0.13412,0.012484
0.028196,0.14424,0.021362,0.017818,0.018186,0.16307,0.014669,0.018549,0.024983,0.012408,0.021306,0.015638,0.019472,0.027817,0.026326,0.023456,0.02293,0.019433,0.023907,0.019707
0.63293,0.026738,0.021338,0.019797,0.025473,0.1644,0.014669,0.019228,0.020699,0.17208,0.02542,0.015638,0.01838,0.019367,0.64051,0.016886,0.076165,0.024274,0.019537,0.017263
0.63199,0.012774,0.024398,0.57349,0.61049,0.016017,0.64164,0.022914,0.021183,0.024843,0.61123,0.66392,0.024328,0.011489,0.64392,0.025254,0.020417,0.60933,0.011322,0.019971
0.013901,0.012774,0.02101,0.57663,0.60912,0.013152,0.65112,0.021489,0.061748,0.019013,0.60881,0.66044,0.02033,0.011489,0.015188,0.56403,0.021982,0.60746,0.011322,0.50713
0.013901,0.018753,0.022011,0.021663,0.025452,0.018581,0.030373,0.0227,0.020488,0.01218,0.024631,0.028179,0.022326,0.027409,0.015188,0.025885,0.076454,0.02552,0.020042,0.020884
0.018447,0.023126,0.062989,0.016919,0.018481,0.021275,0.019456,0.070287,0.016817,0.01218,0.018905,0.023715,0.070839,0.019648,0.017856,0.018235,0.020696,0.016582,0.020748,0.015453
0.018539,0.01851,0.021347,0.021136,0.019758,0.023567,0.020062,0.017603,0.014839,0.019198,0.022083,0.020625,0.019134,0.01933,0.019484,0.017489,0.017572,0.019591,0.01873,0.018899
0.014769,0.020179,0.01661,0.014119,0.013509,0.026539,0.01431,0.018456,0.014839,0.019268,0.013371,0.014691,0.02034,0.023493,0.014019,0.0146,0.034669,0.01478,0.02238,0.014304
0.015182,0.71686,0.026682,0.014129,0.014241,0.76073,0.015072,0.0238,0.63685,0.024739,0.013973,0.015595,0.025189,0.71338,0.015267,0.017555,0.66521,0.014843,0.70789,0.015333
0.1528,0.71261,0.54835,0.11408,0.13848,0.75375,0.14753,0.52608,0.64852,0.5624,0.13501,0.1485,0.55573,0.70736,0.16893,0.21191,0.6621,0.13826,0.69959,0.17339
